total_units,units_2,units_3_4,units_5_9,units_10_19,units_20plus,median_rent,median_value,renter_occupied,total_occupied,population,median_hh_income,GEOID,affordability_stress_index,rent_burdened,mf_share,log_rent,log_income,mean_max_height_ft,mean_max_far,mean_max_du_per_acre
2242,301,1082,242,39,11,888.0,282500.0,1180,2045,4554,47188.0,25005640600,0.22582012376027802,0.0,0.7471008028545941,6.78897174299217,10.761894901961734,,,
1269,189,437,60,77,0,1212.0,310700.0,536,1048,2557,77333.0,25005640700,0.18806977616282827,0.0,0.6012608353033885,7.10002716662926,11.25587605162622,,,
1581,285,477,216,0,30,1038.0,294400.0,715,1405,3928,64680.0,25005640800,0.19257884972170686,0.0,0.6375711574952562,6.945051063725834,11.077207313691043,,,
2250,367,1429,243,34,0,1040.0,412500.0,1696,2007,5329,51716.0,25005640901,0.24131796736019798,0.0,0.9213333333333333,6.946975992135418,10.853522490374443,,,
1432,79,409,473,18,18,908.0,366700.0,1259,1279,2469,39946.0,25005641000,0.2727682371201121,0.0,0.6962290502793296,6.811244378601294,10.595283821025117,,,
1189,40,333,188,15,186,809.0,,1001,1018,1505,24087.0,25005641101,0.403038983684145,1.0,0.6408746846089151,6.695798917058491,10.089427554852794,,,
1609,196,644,420,50,79,966.0,260900.0,1267,1522,3198,34261.0,25005641200,0.33834388955371997,1.0,0.8632691112492231,6.873163834212518,10.441762960010218,,,
2566,399,1107,441,160,53,971.0,309400.0,1786,2469,6314,51171.0,25005641300,0.2277070997244533,0.0,0.8417770849571318,6.878326468291325,10.842928244308982,,,
1699,209,377,510,130,60,1063.0,281600.0,1360,1614,3337,30348.0,25005641400,0.4203242388295769,1.0,0.7569158328428487,6.968850378341948,10.320485896457965,,,
1339,142,375,238,80,6,1069.0,285100.0,857,1254,2603,51105.0,25005641500,0.25101262107425887,0.0,0.6280806572068708,6.974478911025045,10.841637618763176,,,
